Country,Year,LifeExpectancyAtBirthMale,LifeExpectancyAtBirthFemale
Australia,2019,81.3,84.8
Brunei Darussalam,2019,73.4,75.4
China,2019,74.7,80.5
Fiji,2019,65.9,70.3
Japan,2019,81.5,86.9
Kiribati,2019,56.1,62.8
Lao People's Democratic Republic,2019,66.2,70.9
Malaysia,2019,72.6,77.1
Micronesia (Federated States of),2019,60.3,66
Mongolia,2019,63.8,72.8
New Zealand,2019,80.4,83.5
Papua New Guinea,2019,63.4,67.4
Philippines,2019,67.4,73.6
Republic of Korea,2019,80.3,86.1
Samoa,2019,69.2,71.8
Singapore,2019,81,85.5
Solomon Islands,2019,62.9,67.9
Tonga,2019,69.8,75.6
Vanuatu,2019,62.7,68.3
Viet Nam,2019,69.6,78.1
